mlb_id,mlb_name,mlb_pos,bats,throws,birth_date,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,fg_pos,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,yahoo_id,yahoo_name,ottoneu_id,ottoneu_name,ottoneu_pos,rotowire_id,rotowire_name,rotowire_pos,
445090,Bobby Korecky,P,R,R,9/16/1979,38132,korecbo01,Bobby Korecky,451982,Bobby Korecky,RP,29112,Bobby Korecky,RP,4608,Bobby Korecky,P,korecbo01,8230,Bobby Korecky,P,koreb001,Bobby Korecky,8230,Bobby Korecky,3144,Bobby Korecky,RP,7869,Bobby Korecky,P,
489039,Bobby LaFromboise,P,L,L,6/25/1986,58369,lafrobo01,Bobby LaFromboise,2027441,Bobby LaFromboise,RP,33073,Bobby LaFromboise,RP,7758,Bobby LaFromboise,P,lafrobo01,9365,Bobby LaFromboise,P,lafrb001,Bobby LaFromboise,9365,Bobby LaFromboise,4887,Bobby LaFromboise,RP,12773,Bobby LaFromboise,P,
676272,Bobby Miller,P,L,R,4/5/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
458730,Bobby Parnell,P,R,R,9/8/1984,48365,parnebo01,Bobby Parnell,1537192,Bobby Parnell,RP,29227,Bobby Parnell,RP,9926,Bobby Parnell,P,parnebo01,8338,Bobby Parnell,P,parnb001,Bobby Parnell,8338,Bobby Parnell,17426,Bobby Parnell,RP,9649,Bobby Parnell,P,
596074,Bobby Poyner,P,L,L,12/1/1992,,,,,,,,,,17987,Bobby Poyner,P,,,,,,,,,,,,,,,
592833,Bobby Wahl,P,R,R,3/21/1992,68710,wahlbo01,Bobby Wahl,2117052,Bobby Wahl,RP,33207,Bobby Wahl,RP,14832,Bobby Wahl,P,wahlbo01,10693,Bobby Wahl,P,wahlb001,Bobby Wahl,10693,Bobby Wahl,23744,Bobby Wahl,RP,11577,Bobby Wahl,P,
435064,Bobby Wilson,C,R,R,4/8/1983,49220,wilsobo02,Bobby Wilson,538897,Bobby Wilson,C,29115,Bobby Wilson,C,6564,Bobby Wilson,C,wilsobo02,8232,Bobby Wilson,C,wilsb002,Bobby Wilson,8232,Bobby Wilson,1185,Bobby Wilson,C,7917,Bobby Wilson,C,
677951,Bobby Witt Jr.,SS,R,R,6/14/2000,,,,,,,,,,25764,,,,11771,Bobby Witt Jr.,SS,,,11771,,,,,,,,
621471,Boog Powell,OF,L,L,1/14/1993,100641,powelbo02,Boog Powell,2167512,Boog Powell,CF,33803,Boog Powell,RF,15103,Boog Powell,OF,powelbo02,10146,Boog Powell,CF,poweb002,Boog Powell,10146,Boog Powell,18525,Boog Powell,OF,13499,Boog Powell,OF,
502202,Brad Boxberger,P,R,R,5/27/1988,65809,boxbebr01,Brad Boxberger,1813265,Brad Boxberger,RP,31495,Brad Boxberger,RP,10133,Brad Boxberger,P,boxbebr01,9215,Brad Boxberger,P,boxbb001,Brad Boxberger,9215,Brad Boxberger,4553,Brad Boxberger,RP,10984,Brad Boxberger,P,
542960,Brad Brach,P,R,R,4/12/1986,58089,brachbr01,Brad Brach,1793607,Brad Brach,RP,31000,Brad Brach,RP,6627,Brad Brach,P,brachbr01,9040,Brad Brach,P,bracb001,Brad Brach,9040,Brad Brach,4814,Brad Brach,RP,12307,Brad Brach,P,
543223,Brad Glenn,OF,R,R,4/2/1987,59995,glennbr01,Brad Glenn,1813391,Brad Glenn,RF,31501,Brad Glenn,RF,7392,Brad Glenn,OF,glennbr01,9748,Brad Glenn,RF,glenb001,Brad Glenn,9748,Brad Glenn,17865,Brad Glenn,Util,,,,
